Ticker,Expected Return,Volatility
AAPL,0.024032939010808597,0.08413292316369539
AGG,-0.000564437506186913,0.018911433456726082
AMZN,0.017670611124007665,0.09525023947845938
BAC,0.011388840026815257,0.09391966699501605
BND,-0.0005364246953119479,0.01903635898195485
BNDX,-0.0004710649822013385,0.016901371056022383
CORN,0.005933223946425052,0.05504071883232889
CSCO,0.009596212709659387,0.0740033320020748
DBA,0.01052674721446631,0.03669473903194874
DBC,0.00889070830651668,0.05405634502219482
DIA,0.009929466106016896,0.05335830122602085
DIS,0.001682899645930971,0.10418605633543081
EEM,0.002846274980431416,0.05328092739387942
EFA,0.005566267025021624,0.05365714922518746
EMB,-4.316058720137481e-05,0.03787130507082436
GLD,0.009062291630199655,0.041620439464592915
GOOGL,0.019677863010463294,0.07839741372777619
HD,0.013956860796097611,0.07595801435040919
HYG,0.0028569528448986097,0.02813487805299028
IEF,-0.001675538793062594,0.022621194763228117
IWM,0.009085157283226243,0.07251185807683388
JNJ,0.0031290473721687427,0.05102966696996638
JPM,0.01584686449718947,0.08121896109568447
KO,0.005307822947014398,0.05622114074563632
LQD,-0.0002804852403964436,0.03119446856470388
MA,0.01222498434626489,0.07884891028064567
META,0.02557305455241977,0.11955394188210432
MSFT,0.01825732546966475,0.06461918484851513
MUB,0.0006433170234314725,0.01766847593370523
NVDA,0.06451894431828925,0.1449642107453853
PALL,-0.011960057228187708,0.08981768909612081
PFE,0.0017166286967743507,0.07859978646606033
PG,0.008468670767835921,0.05223106618352827
QQQ,0.01690884016811774,0.06296689294824478
SHY,0.0008645138317658482,0.006102351605778634
SLV,0.01167780400357238,0.09286062263144992
SPY,0.012887814733710597,0.053875621805747106
TLT,-0.005645146625978253,0.0449020017191026
TSLA,0.05865790419561747,0.21390325734067694
UNG,-0.003734458958069935,0.18654921500238156
USO,0.008219158441112071,0.13104441076684287
V,0.010760881307481209,0.06866604561592643
VNQ,0.004269211371876124,0.06518043469430532
WEAT,-0.00043187067225242034,0.07094348421976593
WMT,0.017503341248428023,0.05594970968439001
XOM,0.01808625861152637,0.09731537443427861
