dp,ep,bm,ntis,tbl,tms,dfy,svar,infl
-4.397313369723316,-3.304079204970538,0.15939806739984982,-0.0005665151730788374,0.03756726305479566,0.0030087499553434214,0.007083957449936259,0.01051751234206807,0.0005897655448661123
-4.305704350968324,-3.2711923092295963,0.1931045731814843,-0.004957848247652492,0.04073329151190632,0.0036840200616735583,0.005497773121610669,-0.00085198092558718,-0.00046268643346350827
-4.395668695316082,-3.3553186779828668,0.17379910150765407,-0.002340714225796482,0.043013428083885086,-0.0004728964611629041,0.0064885088989353355,-0.006000807540012474,0.0012366486510407696
-4.363488318305117,-3.333618724003913,0.17790339948110143,-0.002863294668209582,0.033430877114848795,0.010403564227258123,0.008301134081799399,0.006621682072327482,-0.001482171469353671
-4.384162811931469,-3.2830871144158666,0.18665413325503885,-0.005910878466556665,0.03953728574628199,0.004848181410885537,0.0062290888697901165,-0.0028467083614038425,0.00022133495702316374
-4.347068444582068,-3.333320735857333,0.18664240840792543,-0.0052665803740524165,0.03673740706428172,0.0026519074847837073,0.006747433884184371,0.0034280880113915463,0.0036534984483509716
-4.3641893504124125,-3.2658956989202053,0.18652995683756105,-0.008478120544698275,0.03524588859156914,0.005351340649373508,0.007373033474065793,0.005674739494396225,-0.0033965180667158675
-4.3613904365762055,-3.3520292050783835,0.1729235124313379,-0.007128283266463371,0.040292353045544356,-0.0021659353403759123,0.006010889568595784,0.003461456634316286,0.0007683657244169914
-4.316782493785652,-3.2602073459334435,0.19814996303002821,-0.005222808089426023,0.039098921225140755,0.003954609237472448,0.00725141451613277,0.006695963637371393,0.0031115017666730337
-4.350055151014648,-3.25982406164979,0.1923137610674997,-0.0016641286016050678,0.047404839574731454,-0.0017672227150123591,0.006103683063480883,-0.0014516246273073208,0.002054948880846678
